1.80035 2.08012
2.58476 3.4231
1.68008 1.87994
3.00099 2.44641
1.41813 1.54291
3.29135 2.37974
2.15428 1.20421
1.20867 2.6334
3.26047 2.36312
1.65354 2.93404
2.43625 1.42227
1.47048 1.50927
2.86851 1.07644
1.0065 2.71119
1.73211 1.35439
2.53609 2.19555
3.19398 1.85574
3.06907 1.60762
2.76509 1.29487
1.21502 2.49823
2.35262 2.44696
2.49059 2.17055
2.02119 1.56564
3.11806 1.29946
2.6052 2.00709
2.50406 2.33213
3.17184 2.61236
3.51111 1.26129
2.72973 3.07122
2.868 1.6307
1.98485 1.88079
1.52189 1.79522
3.0963 1.40674
3.32052 2.38614
3.46251 2.68512
2.22794 2.6946
1.65581 1.89268
2.02971 1.48072
1.65413 3.12363
2.05011 3.45131
1.28807 1.5961
2.05918 2.59205
3.18427 1.53917
3.06849 2.38165
1.03467 3.23363
2.9045 3.20466
3.15148 1.15452
2.01163 1.75494
1.4026 2.50024
1.49306 3.20635
3.33486 2.79129
2.09836 1.96694
3.32901 3.13195
2.69194 3.13012
3.42285 2.7623
1.41154 3.44152
2.49111 3.38714
2.19086 3.24146
3.25056 2.43116
2.69364 1.05445
1.20008 2.01457
3.43666 1.64663
1.47302 1.60931
1.65506 1.68002
2.41686 2.07525
3.52009 2.67701
2.05183 3.08714
1.33625 3.44696
3.15839 2.78265
2.99132 1.40439
2.13523 1.17564
3.17266 3.10006
2.3491 2.59773
2.94736 2.48123
1.66225 3.01999
2.04579 1.19936
2.56426 2.0113
2.17943 3.29552
2.10396 2.79993
1.61266 3.43196
3.02777 1.7797
2.34486 2.09834
2.35784 1.93331
2.2045 1.41325
1.01518 2.69658
1.46685 1.77232
2.79323 2.67279
2.68456 3.24029
2.25556 2.98942
2.93325 2.77042
1.50387 1.51216
3.43681 2.71497
3.03244 1.50707
2.65059 3.45154
3.27575 1.12792
2.60301 2.6317
2.08286 1.20967
2.53838 2.07337
2.86557 3.48302
3.49883 2.47661
